#catalogue,prefix,suffix
IDR2_D-27_XG_072-080MHz_comp.fits,,_N_072_080MHz
IDR2_D-27_XG_072-103MHz_comp.fits,,_W_072_103MHz
IDR2_D-27_XG_080-088MHz_comp.fits,,_N_080_088MHz
IDR2_D-27_XG_088-095MHz_comp.fits,,_N_088_095MHz
IDR2_D-27_XG_095-103MHz_comp.fits,,_N_095_103MHz
IDR2_D-27_XG_103-111MHz_comp.fits,,_N_103_111MHz
IDR2_D-27_XG_103-134MHz_comp.fits,,_W_103_134MHz
IDR2_D-27_XG_111-118MHz_comp.fits,,_N_111_118MHz
IDR2_D-27_XG_118-126MHz_comp.fits,,_N_118_126MHz
IDR2_D-27_XG_126-134MHz_comp.fits,,_N_126_134MHz
IDR2_D-27_XG_139-147MHz_comp.fits,,_N_139_147MHz
IDR2_D-27_XG_139-170MHz_comp.fits,,_W_139_170MHz
IDR2_D-27_XG_147-154MHz_comp.fits,,_N_147_154MHz
IDR2_D-27_XG_154-162MHz_comp.fits,,_N_154_162MHz
IDR2_D-27_XG_162-170MHz_comp.fits,,_N_162_170MHz
IDR2_D-27_XG_170-177MHz_comp.fits,,_N_170_177MHz
IDR2_D-27_XG_170-200MHz_comp.fits,,_W_170_200MHz
IDR2_D-27_XG_177-185MHz_comp.fits,,_N_177_185MHz
IDR2_D-27_XG_185-193MHz_comp.fits,,_N_185_193MHz
IDR2_D-27_XG_193-200MHz_comp.fits,,_N_193_200MHz
IDR2_D-27_XG_200-208MHz_comp.fits,,_N_200_208MHz
IDR2_D-27_XG_200-231MHz_comp.fits,,_W_200_231MHz
IDR2_D-27_XG_208-216MHz_comp.fits,,_N_208_216MHz
IDR2_D-27_XG_216-223MHz_comp.fits,,_N_216_223MHz
IDR2_D-27_XG_223-231MHz_comp.fits,,_N_223_231MHz
